"@timestamp","owner.id","edge_media_preview_like.count","edge_media_to_comment.count","location.id","location.name","location.slug","taken_at_timestamp"
"Mar 14, 2020 @ 00:33:45.143",540867181,"3,208",108,128923,"Galleria Vittorio Emanuele","galleria-vittorio-emanuele","1,470,545,925"
"Mar 14, 2020 @ 00:33:45.142",540867181,"3,042",153,213050058,"Milan, Italy","milan-italy","1,470,565,145"
"Mar 14, 2020 @ 00:33:45.140",540867181,"4,346",158,227745570,"Monterosso al Mare","monterosso-al-mare","1,470,654,321"
"Mar 14, 2020 @ 00:33:45.140",540867181,"3,044",95,247560663,"Manarola, Cinque Terre","manarola-cinque-terre","1,470,636,815"
"Mar 14, 2020 @ 00:33:45.139",540867181,"4,566",105,227745570,"Monterosso al Mare","monterosso-al-mare","1,470,725,227"
"Mar 14, 2020 @ 00:33:45.138",540867181,"2,674",82,243314696,"Vernazza - Cinque Terre","vernazza-cinque-terre","1,470,741,432"
"Mar 14, 2020 @ 00:33:45.137",540867181,"4,364",76,227745570,"Monterosso al Mare","monterosso-al-mare","1,470,811,898"
"Mar 14, 2020 @ 00:33:45.135",540867181,"2,879",45,247560663,"Manarola, Cinque Terre","manarola-cinque-terre","1,470,896,930"
"Mar 14, 2020 @ 00:33:45.134",540867181,"2,922",87,247560663,"Manarola, Cinque Terre","manarola-cinque-terre","1,470,913,823"
"Mar 14, 2020 @ 00:33:45.133",540867181,"4,535",112,247560663,"Manarola, Cinque Terre","manarola-cinque-terre","1,471,070,557"
"Mar 14, 2020 @ 00:33:45.132",540867181,"7,162",157,213004466,Colosseum,colosseum,"1,471,156,473"
"Mar 14, 2020 @ 00:33:45.131",540867181,"13,717",213,1018776195,"Fontana Di Trevi-Roma","fontana-di-trevi-roma","1,471,244,741"
"Mar 14, 2020 @ 00:33:45.130",540867181,"4,097",100,31499759,"Rome, Italy","rome-italy","1,471,345,229"
"Mar 14, 2020 @ 00:33:45.129",540867181,"3,908",92,360092031,"Vatican City - Rome, Italy","vatican-city-rome-italy","1,471,417,761"
"Mar 14, 2020 @ 00:33:45.128",540867181,"7,384",180,7677222,"Rome Forum","rome-forum","1,471,435,338"
"Mar 14, 2020 @ 00:33:45.127",540867181,"4,260",120,218289746,"Capri, Italy","capri-italy","1,471,503,929"
"Mar 14, 2020 @ 00:33:45.126",540867181,"5,218",127,227663117,"Ginger Sapori e Salute","ginger-sapori-e-salute","1,471,587,476"
"Mar 14, 2020 @ 00:33:45.125",540867181,"6,748",213,246984090,"Le Sirenuse","le-sirenuse","1,471,673,359"
"Mar 14, 2020 @ 00:33:45.123",540867181,"4,578",97,246984090,"Le Sirenuse","le-sirenuse","1,471,774,840"
"Mar 14, 2020 @ 00:33:45.122",540867181,"7,727",229,218289746,"Capri, Italy","capri-italy","1,471,864,554"
"Mar 14, 2020 @ 00:33:45.121",540867181,"4,911",112,270531492,Italy,italy,"1,471,949,555"
"Mar 14, 2020 @ 00:33:45.120",540867181,"5,861",175,214197847,"Amalfi Coast - Positano","amalfi-coast-positano","1,472,020,175"
"Mar 14, 2020 @ 00:33:45.119",540867181,"11,284",180,255298114,"The Strand Melbourne","the-strand-melbourne","1,472,034,632"
"Mar 14, 2020 @ 00:33:45.118",540867181,"6,513",185,214197847,"Amalfi Coast - Positano","amalfi-coast-positano","1,472,121,195"
